11.100,11.000,14.400,15.900,14.700,15.400,17.400,13.700,17.200,16.600,12.500,11.800,17.000,12.900,10.400,11.100
7.000,5.600,5.800,11.300,8.700,8.000,9.300,8.900,15.100,16.900,11.400,9.000,12.900,9.100,9.400,9.100
9.100,8.000,7.500,13.600,10.600,9.500,14.800,18.900,10.800,8.900,8.500,8.500,8.000,8.200,9.300,9.400
8.000,7.900,7.300,15.700,9.400,7.700,9.000,7.600,8.600,8.400,8.700,8.100,9.000,8.600,14.900,10.300
9.100,15.200,10.300,9.700,11.900,9.700,9.400,13.700,11.000,10.800,11.400,9.500,8.500,14.700,8.900,9.500
9.600,8.200,8.200,8.000,9.600,8.600,9.300,8.200,13.200,9.200,8.800,13.300,10.800,7.500,12.100,7.600
8.900,6.700,11.500,9.200,9.000,8.700,6.500,6.700,8.600,7.100,10.400,8.700,7.700,7.000,11.100,8.100
9.700,8.900,7.500,9.100,10.400,11.500,7.000,5.900,6.800,7.300,6.800,6.800,6.100,5.500,21.400,4.800
4.400,6.400,6.600,5.100,10.200,4.900,6.300,5.900,5.800,10.100,5.600,5.800,7.600,5.300,6.400,6.700
5.500,7.500,5.100,6.100,6.500,6.100,6.300,6.900,5.800,7.600,7.000,7.400,8.300,12.400,7.100,6.900
7.900,6.200,11.100,7.600,12.000,6.600,6.800,8.100,5.100,18.800,6.100,7.600,6.300,6.600,4.700,6.600
5.400,4.800,4.800,4.900,4.700,5.300,9.300,5.200,5.300,5.900,4.800,9.100,6.100,5.400,5.300,4.500
4.900,9.100,6.000,6.900,6.200,6.100,10.200,6.000,5.200,5.200,5.000,9.100,4.800,6.200,5.700,5.100
7.600,5.600,5.100,5.700,5.000,4.900,8.100,6.100,4.600,4.800,4.400,4.900,5.400,5.300,7.100,6.300
4.800,4.600,5.300,5.400,12.300,4.600,4.700,5.600,6.400,6.100,6.200,6.400,6.000,6.800,6.200,6.400
6.200,5.900,10.200,5.800,6.500,5.800,5.200,8.800,6.000,5.700,5.900,5.600,9.000,6.100,6.300,10.100
6.300,5.800,7.100,7.100,5.100,4.600,9.000,5.200,5.000,5.000,4.600,4.500,8.400,5.200,5.300,5.800
5.100,5.900,5.700,5.400,5.400,5.600,5.600,6.300,5.800,5.300,5.200,5.700,5.600,6.300,5.100,5.800
6.100,5.900,5.900,9.000,6.400,6.400,5.600,5.500,5.100,7.100,5.200,5.800,5.300,5.700,8.500,5.900
9.400,5.500,5.400,7.900,5.200,5.300,5.500,5.600,5.800,10.000,5.900,5.900,5.400,9.400,5.100,5.700
5.700,5.400,5.400,9.600,5.800,5.500,5.500,5.200,7.700,5.100,5.800,5.800,5.100,5.600,7.600,7.100
6.600,6.200,5.700,8.800,5.500,6.500,6.100,5.100,7.100,5.700,5.800,5.800,5.900,8.900,5.800,6.100
4.900,4.600,4.600,4.900,6.000,4.900,4.600,5.000,4.600,5.000,5.400,4.900,5.400,5.200,5.100,5.300
6.500,5.200,5.600,5.500,5.200,5.000,8.600,5.700,5.800,5.500,5.200,5.700,5.500,5.700,5.400,5.600
5.200,9.500,6.000,5.800,5.300,5.300,6.000,5.000,5.200,4.900,5.100,5.100,5.000,9.000,5.200,5.800
5.700,5.400,5.600,5.400,5.300,9.900,5.400,6.000,6.500,5.000,5.100,5.400,5.100,5.900,5.700,5.000
5.200,5.500,5.300,5.600,6.800,5.500,6.100,6.900,5.600,8.800,5.400,5.000,5.700,5.100,5.700,5.900
5.500,5.300,5.500,5.400,5.600,8.700,5.900,5.000,4.900,4.500,10.000,5.300,4.700,5.200,5.700,5.600
6.800,5.200,5.100,5.900,5.200,5.700,8.400,5.500,9.200,5.600,5.900,8.900,5.100,5.600,5.000,4.900
8.200,5.800,5.500,5.200,5.400,5.600,6.000,5.200,5.100,4.800,4.700,5.300,9.500,4.900,5.400,5.500
5.300,5.600,6.600,5.500,5.400,5.500,5.400,9.500,5.600,5.600,5.600,5.000,11.800,5.600,6.200,6.100
5.200,8.600,5.800,6.100,5.600,5.700,6.000,5.800,6.200,14.500,6.900,6.000,5.200,5.700,5.400,5.400
5.500,5.700,5.700,6.100,5.500,5.100,9.500,6.800,6.400,6.100,6.000,9.100,5.300,7.700,6.300,6.200
6.500,6.600,6.800,6.900,7.300,7.000,7.300,7.400,6.500,7.200,6.800,6.600,6.200,5.800,6.200,6.900
5.700,6.200,6.000,5.500,8.400,6.400,9.600,5.500,7.000,5.900,5.100,6.200,5.100,5.200,9.400,6.400
6.100,5.600,5.600,9.500,5.900,6.200,6.200,5.700,8.600,5.700,6.400,5.300,5.000,5.400,6.800,5.200
5.100,5.400,5.100,5.500,5.700,5.800,5.400,5.600,5.200,6.300,5.100,5.000,6.100,5.000,4.900,5.000
5.200,4.800,5.100,5.100,4.900,5.700,9.000,5.900,6.800,5.500,4.500,6.600,5.000,5.200,4.800,4.900
4.800,5.500,7.200,5.300,5.100,6.500,7.100,10.200,5.700,5.800,5.400,5.500,8.700,5.600,5.800,5.700
5.000,6.200,5.600,5.200,5.200,5.900,5.600,5.600,4.800,5.700,5.400,5.400,5.100,5.900,5.200,5.700
5.400,5.400,5.400,5.500,7.100,5.300,5.500,5.800,4.900,4.900,9.200,5.500,10.000,6.000,12.900,6.000
5.700,5.500,9.600,5.100,5.400,5.800,5.300,5.300,15.800,5.400,5.000,5.000,7.900,5.500,5.300,5.300
4.800,5.300,6.700,5.400,5.200,5.700,4.900,5.400,7.500,5.200,5.300,5.300,4.900,5.100,7.600,5.700
5.400,5.200,4.800,9.700,5.600,5.400,6.000,5.000,5.200,6.200,5.600,6.100,5.900,4.700,5.100,5.600
4.900,5.900,4.800,5.100,5.300,7.300,5.500,5.700,5.600,4.400,5.400,6.300,5.600,5.000,5.000,4.400
4.600,9.100,5.300,5.700,4.700,5.000,5.300,6.500,4.700,5.600,5.500,4.900,6.100,4.900,5.400,5.100
5.400,4.800,5.700,7.900,5.400,5.400,4.800,5.200,5.300,5.300,5.200,5.300,5.700,5.200,5.000,7.700
5.900,9.300,5.000,6.200,5.600,5.100,5.300,5.700,5.400,5.600,5.100,5.700,5.200,4.900,5.000,5.200
6.000,4.800,4.700,5.200,4.800,5.100,9.300,5.600,5.300,5.200,4.500,5.100,8.300,5.500,5.100,5.000
5.000,5.300,6.400,5.400,5.200,8.900,5.100,8.800,5.600,5.100,5.300,4.800,13.500,4.800,5.000,5.100
4.600,4.500,7.300,5.300,5.700,4.700,4.400,4.800,8.400,4.700,4.700,4.800,4.800,4.600,8.800,5.600
5.200,5.200,4.700,5.300,7.700,5.300,5.100,5.500,4.800,4.800,8.300,5.700,6.200,5.000,4.600,5.200
6.500,5.300,5.400,5.400,4.700,4.800,8.900,5.600,9.700,5.200,6.200,8.600,4.700,8.100,5.400,5.400
12.900,5.400,5.700,5.000,5.300,6.400,4.900,6.000,4.900,4.500,5.200,6.100,5.000,5.000,6.500,4.600
4.900,5.700,4.400,4.200,8.400,4.300,4.500,8.200,4.500,4.900,6.900,4.600,5.200,6.200,4.400,4.100
7.800,5.000,4.600,6.700,4.600,4.100,8.800,5.100,5.700,5.400,17.700,7.200,8.500,6.000,10.300,6.000
7.200,5.500,5.100,10.000,5.800,6.500,8.900,5.700,5.700,6.500,9.000,5.800,5.900,6.200,5.000,5.800
5.000,5.100,4.900,8.600,5.400,9.300,4.900,5.800,6.400,5.600,5.200,6.300,5.800,9.900,5.300,5.000
6.200,5.100,5.400,7.500,5.300,9.300,5.100,5.300,7.900,5.500,5.000,5.200,4.900,5.300,5.700,4.900
5.500,5.300,4.800,4.900,8.800,5.100,5.100,5.800,5.000,4.900,7.400,5.500,6.200,5.900,5.400,6.100
5.900,5.000,5.900,5.600,5.500,9.900,5.500,6.400,5.900,5.700,9.300,6.900,6.000,5.700,5.700,5.800
5.200,5.800,5.800,5.700,5.800,8.900,5.700,6.300,5.600,5.700,9.400,5.900,5.700,5.500,5.600,5.300
5.500,5.600,5.400,5.500,5.600,6.300,6.500,5.400,5.700,5.800,5.500,9.200,5.800,5.800,5.200,5.300
5.400,5.200,4.600,4.900,4.900,4.300,5.800,8.100,5.000,5.400,5.300,4.500,4.800,8.100,5.200,5.100

