1.700,19.200,19.300,26.800,35.600,26.800,34.200,11.800,7.800,7.900,7.500,7.200,9.400,7.400,8.200,7.400
1.100,7.600,7.900,7.600,7.900,7.400,7.400,7.500,7.300,8.800,7.800,7.400,7.600,9.000,7.100,7.800
0.900,9.200,6.600,5.200,5.300,5.200,5.700,5.100,5.100,5.600,5.200,5.200,5.000,5.700,5.300,5.200
1.400,5.200,5.500,5.500,5.500,5.500,5.500,5.400,5.200,5.700,5.400,5.300,5.400,5.500,5.300,5.400
1.000,5.600,5.300,5.400,5.500,5.600,5.300,5.500,5.400,5.300,5.600,5.500,5.600,5.500,5.300,5.400
1.100,5.800,5.300,5.400,5.900,5.100,5.200,5.000,5.400,5.300,5.200,5.600,5.600,5.600,5.500,5.700
1.100,5.600,5.400,5.300,5.800,5.100,5.400,5.200,5.300,5.300,5.500,5.700,5.200,5.700,5.300,5.500
1.200,5.900,5.500,5.700,5.500,5.400,5.300,5.800,5.300,5.200,5.100,6.000,5.900,5.700,5.500,5.900
1.000,5.300,5.600,5.300,6.700,5.600,5.800,7.000,5.800,5.600,5.200,5.800,6.000,5.200,5.100,6.400
1.000,5.400,5.100,5.000,6.500,5.500,5.300,5.100,6.800,5.200,5.200,5.200,7.000,5.300,5.200,5.500
1.400,5.700,5.200,5.100,6.500,5.500,5.300,5.400,6.200,5.300,5.300,5.400,5.300,5.000,5.100,5.300
0.700,5.100,5.200,5.400,5.200,5.100,5.000,5.300,5.300,5.200,5.200,5.200,5.100,5.300,5.100,5.300
0.800,5.100,5.000,5.200,5.300,5.200,5.100,5.200,5.300,5.200,5.200,5.300,5.100,5.100,5.400,5.300
0.800,5.100,5.100,5.100,5.300,5.200,5.000,5.200,5.300,5.100,5.300,5.100,5.500,5.200,5.100,5.300
0.900,5.200,5.200,5.500,5.300,5.200,7.100,5.500,5.000,5.000,5.100,5.500,5.100,5.000,5.100,5.600
0.900,5.000,5.300,5.300,5.500,5.100,6.800,5.600,5.200,5.200,5.200,5.600,5.100,5.200,5.200,5.400
1.000,5.200,5.100,5.400,5.300,5.200,5.300,5.600,5.100,5.300,5.200,5.400,5.200,5.200,5.200,5.600
1.100,5.400,5.400,5.700,5.300,5.100,5.400,5.500,5.300,5.100,5.200,5.500,5.400,5.200,5.500,5.400
1.100,5.100,5.300,5.400,5.300,5.400,5.200,5.600,5.300,5.100,5.600,5.300,5.200,5.300,5.600,5.200
0.900,5.100,5.400,5.500,5.400,5.400,5.400,5.300,5.400,5.300,5.600,5.400,5.500,5.200,5.800,5.200
1.000,5.200,5.500,5.200,5.200,5.100,5.400,5.300,5.100,5.100,5.400,5.200,5.200,5.300,5.500,5.200
0.900,5.100,5.600,5.300,5.400,5.300,5.700,5.200,5.300,5.200,5.600,5.300,5.500,5.500,5.400,5.400
1.100,5.400,5.600,5.300,5.300,5.300,5.400,5.300,5.200,5.300,5.400,5.400,5.200,6.300,6.000,5.200
1.000,5.100,5.200,6.300,5.700,5.700,5.200,5.200,5.000,5.600,5.200,5.100,5.200,5.400,5.300,5.100
0.900,5.400,5.300,5.200,5.100,5.400,5.100,5.100,5.400,5.500,5.100,5.100,5.300,5.400,5.100,5.300
1.100,5.600,5.700,5.400,5.500,7.500,5.400,5.400,5.900,7.400,5.600,5.800,5.300,6.700,6.200,5.800
1.100,5.300,7.300,5.700,5.200,6.800,6.200,5.200,5.200,7.400,5.300,5.300,5.200,7.100,5.500,5.500
0.900,7.500,5.200,5.200,5.400,7.500,5.300,5.200,7.000,5.300,5.200,5.300,6.800,5.200,5.200,5.600
0.800,6.800,5.200,5.500,5.400,5.200,6.500,6.200,5.200,5.200,7.500,5.100,5.000,5.000,7.300,5.200
0.900,5.100,6.900,5.200,5.100,5.100,5.500,5.100,5.300,5.300,5.400,5.500,5.400,5.500,6.600,5.600
0.900,5.200,5.500,5.300,5.300,7.000,5.200,5.100,5.200,5.500,5.200,5.000,5.000,5.400,5.000,5.000
